,count,mean,std,min,25%,50%,75%,max,cv
nilai ips,28.0,3.7017857142857147,0.19189220684441322,3.13,3.61,3.725,3.87,3.93,0.051837740392123195
IPS,28.0,3.685,0.19003898235576513,3.0,3.6525,3.705,3.8325,3.92,0.05157095857686978
IPS.1,28.0,3.724642857142857,0.22373069364846504,3.07,3.67,3.77,3.8775,3.97,0.060067690307383466
IPS.2,28.0,3.6803571428571433,0.1724653941210009,3.3,3.61,3.745,3.8,3.87,0.04686104837834085
Rata-Rata IPS,28.0,3.3353571428571427,0.2768136442641397,2.81,3.08,3.31,3.565,3.89,0.08299370424452202
Rata-Rata Absen Mahasiswa,28.0,99.1167857142857,1.2316687071744599,96.09,98.44,100.0,100.0,100.0,0.01242643915759003
ABSENSI RATA RATA,28.0,98.60678571428569,1.2085805986743563,95.31,97.66,98.83,99.41499999999999,100.0,0.012256566218234033
ABSENSI RATA_RATA,28.0,99.05785714285716,1.3264107992871625,95.83,97.92,100.0,100.0,100.0,0.01339026340307632
ABSENSI RATA RATA.1,28.0,99.30321428571429,1.1314201288365473,95.31,99.22,100.0,100.0,100.0,0.011393590197203847
ABSENSI RATA RATA.2,28.0,99.13571428571429,1.4312140108919933,95.31,99.025,100.0,100.0,100.0,0.014436916314207007
JK,28.0,1.4285714285714286,0.5039526306789697,1.0,1.0,1.0,2.0,2.0,0.35276684147527876
Angkatan Tahun,28.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.0
